	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005000539	615	1043	27	1082	712	27
ENSLAIG00005000540	0	0	0	0	0	0
ENSLAIG00005000541	1764	1150	833	1691	1015	753
ENSLAIG00005000543	1137	1974	937	1893	2019	765
ENSLAIG00005000544	262	223	91	307	292	135
ENSLAIG00005000545	32	24	8	33	13	17
ENSLAIG00005000546	444	358	245	561	359	269
ENSLAIG00005000547	455	286	105	477	326	120
ENSLAIG00005000548	257	174	160	247	236	144
ENSLAIG00005000549	0	0	16	0	0	30
ENSLAIG00005000550	512	448	186	553	392	168
ENSLAIG00005000551	1041	1329	1000	1467	1433	853
ENSLAIG00005000552	191	103	292	182	160	273
ENSLAIG00005000553	1219	862	474	1279	742	438
ENSLAIG00005000554	4660	15990	1736	6089	26640	1691
ENSLAIG00005000555	0	0	4	0	0	46
ENSLAIG00005000556	0	0	0	0	0	0
ENSLAIG00005000557	0	3	0	8	1	1
ENSLAIG00005000558	0	0	0	0	2	0
ENSLAIG00005000561	626	499	356	769	555	419
ENSLAIG00005000562	526	529	363	715	527	367
ENSLAIG00005000564	152	199	79	160	414	41
ENSLAIG00005000565	1	3	287	0	101	1971
ENSLAIG00005000567	364	382	285	487	427	337
ENSLAIG00005000568	0	2	4	3	4	6
ENSLAIG00005000569	0	0	0	0	0	0
ENSLAIG00005000571	2779	1974	634	3360	1792	516
ENSLAIG00005000573	6812	7067	3195	11836	7142	2636
ENSLAIG00005000575	844	738	525	1001	738	603
ENSLAIG00005000576	2012	1869	1450	3832	1915	1238
ENSLAIG00005000577	924	834	524	1145	855	501
ENSLAIG00005000578	969	769	453	891	610	501
ENSLAIG00005000579	1323	1646	1595	1741	1883	1330
ENSLAIG00005000580	452	323	316	579	307	330
ENSLAIG00005000581	239	256	151	357	222	120
ENSLAIG00005000582	5	9	32	9	5	12
ENSLAIG00005000584	1	1	4	2	1	0
ENSLAIG00005000585	5131	2626	1804	5355	2358	1468
ENSLAIG00005000586	109	89	89	125	96	67
ENSLAIG00005000587	3	2	6	1	0	7
ENSLAIG00005000588	3	9	3	0	9	5
ENSLAIG00005000589	614	616	326	776	555	412
ENSLAIG00005000590	13	7	5	4	3	3
ENSLAIG00005000591	6988	6731	2747	8740	5481	2215
ENSLAIG00005000592	327	176	136	327	190	193
ENSLAIG00005000594	6218	4625	2591	8895	2982	1645
ENSLAIG00005000595	10381	8753	2116	18839	8534	1901
ENSLAIG00005000596	324	361	241	382	322	188
ENSLAIG00005000597	604	786	631	1069	852	623
ENSLAIG00005000598	0	0	0	0	0	0
ENSLAIG00005000599	5089	5108	2089	6392	4810	1746
ENSLAIG00005000600	0	3	0	0	2	3
ENSLAIG00005000601	69	71	52	107	105	53
ENSLAIG00005000602	24	70	5	32	144	12
ENSLAIG00005000603	0	0	0	0	1	0
ENSLAIG00005000604	28	123	326321	29	358	255727
ENSLAIG00005000605	32	32	30	67	31	48
ENSLAIG00005000606	1674	1539	647	1990	1502	737
ENSLAIG00005000607	615	263	352	540	250	413
ENSLAIG00005000608	98	84	84	116	88	93
ENSLAIG00005000609	1327	1311	1322	1621	1452	1074
ENSLAIG00005000610	1424	1165	925	1755	1224	734
ENSLAIG00005000611	1	1	0	5	2	0
ENSLAIG00005000612	142	58	131	200	42	139
ENSLAIG00005000613	3056	4859	2862	5493	4539	2476
ENSLAIG00005000614	321	462	296	452	439	300
ENSLAIG00005000615	434	441	178	603	361	188
ENSLAIG00005000616	1530	652	630	1423	413	514
ENSLAIG00005000617	0	0	0	0	0	0
ENSLAIG00005000618	215	453	297	320	423	323
ENSLAIG00005000619	2	0	0	0	2	0
ENSLAIG00005000620	0	72	2	4	160	1
ENSLAIG00005000621	3	0	19	0	0	16
ENSLAIG00005000622	3471	3064	830	3840	2273	607
ENSLAIG00005000623	337	246	232	397	304	193
ENSLAIG00005000624	207	50	11	213	103	10
ENSLAIG00005000626	686	637	240	753	725	240
ENSLAIG00005000627	237	234	197	274	246	225
ENSLAIG00005000628	2773	3139	787	3746	3079	659
ENSLAIG00005000629	53	26	43	60	35	23
ENSLAIG00005000631	2	0	0	0	0	0
ENSLAIG00005000632	1	0	0	1	0	0
ENSLAIG00005000633	13	9	76	17	50	27
ENSLAIG00005000635	247	173	77	295	211	39
ENSLAIG00005000636	197	155	151	286	151	110
ENSLAIG00005000637	13136	11044	7472	16248	11902	8097
ENSLAIG00005000638	466	293	234	527	328	221
ENSLAIG00005000639	80	943	437	53	1326	436
ENSLAIG00005000640	32	54	40	38	50	33
ENSLAIG00005000641	335	315	172	448	327	231
ENSLAIG00005000642	2077	7443	28620	6233	7779	25331
ENSLAIG00005000643	268	205	177	307	217	181
ENSLAIG00005000645	2	10	5	1	4	2
ENSLAIG00005000646	4406	3896	2158	5350	3538	1917
ENSLAIG00005000647	595	1638	59	4779	1274	146
ENSLAIG00005000648	175	175	129	194	170	102
ENSLAIG00005000649	1764	4672	1539	3121	3592	1364
ENSLAIG00005000650	6	2	3	3	4	7
ENSLAIG00005000651	1018	844	765	1142	802	666
ENSLAIG00005000653	303	304	225	441	328	196
ENSLAIG00005000654	148	98	109	178	129	67
ENSLAIG00005000656	13	36	217	24	78	149
ENSLAIG00005000657	2101	59	6	821	48	10
ENSLAIG00005000658	1189	1231	492	1570	1762	521
ENSLAIG00005000659	0	0	0	0	0	0
ENSLAIG00005000660	12	6	8	11	2	1
ENSLAIG00005000662	17	13	12	23	16	9
ENSLAIG00005000663	317	202	156	269	147	140
ENSLAIG00005000664	1466	1477	2194	1976	1341	1656
ENSLAIG00005000665	2472	1830	1015	3233	1910	1014
ENSLAIG00005000666	187	243	172	313	304	165
ENSLAIG00005000669	2138	728	1166	3387	755	867
ENSLAIG00005000670	306	110	67	266	100	55
ENSLAIG00005000671	3	2	5	5	5	4
ENSLAIG00005000672	190	108	74	202	100	64
ENSLAIG00005000674	0	1	1	0	3	3
ENSLAIG00005000675	0	0	0	0	1	0
ENSLAIG00005000676	2	0	0	0	0	3
ENSLAIG00005000677	105	93	110	111	100	86
ENSLAIG00005000679	1330	1305	742	1737	1409	746
ENSLAIG00005000682	25132	20951	14981	26916	17326	13036
ENSLAIG00005000683	1587	1549	20282	2136	1442	22128
ENSLAIG00005000684	17	12	2	13	4	8
ENSLAIG00005000685	797	508	563	814	461	599
ENSLAIG00005000686	107	100	95	124	117	110
ENSLAIG00005000687	3	5	1	8	8	0
ENSLAIG00005000688	247	385	91	335	353	79
ENSLAIG00005000689	655	448	393	529	325	384
ENSLAIG00005000690	4225	3981	1640	5786	4344	1536
ENSLAIG00005000691	1015	741	620	995	633	681
ENSLAIG00005000692	0	0	3	0	1	0
ENSLAIG00005000693	0	0	0	2	0	3
ENSLAIG00005000694	66	47	87	101	66	76
ENSLAIG00005000695	2461	2367	1276	3242	2137	1240
ENSLAIG00005000696	0	0	0	0	0	3
ENSLAIG00005000697	27	71	23	122	99	28
ENSLAIG00005000698	2	0	0	0	0	3
ENSLAIG00005000699	1652	1076	911	2392	653	1294
ENSLAIG00005000700	4112	4358	1796	5332	4769	1571
ENSLAIG00005000702	2418	1952	1757	3180	1980	1371
ENSLAIG00005000704	503	602	328	569	736	235
ENSLAIG00005000705	1071	603	390	1162	462	326
ENSLAIG00005000707	8888	8142	2891	17707	5381	1879
ENSLAIG00005000708	1224	1217	544	1482	1279	538
ENSLAIG00005000709	1209	1364	700	2088	1449	703
